Yeah I remember that scene when the metal blobs join together and turn into the bad cop 	 That cop had an evil look to him I wonder what the real cops thought
That cop had an evil look to him I wonder what the real cops thought 	 I bet all cops like Arnold
I bet all cops like Arnold 	 They should make a film where he is now a police chief who gets down and dirty on the front lines
Do you have a favorite Harrison Ford movie 	 The Fugitive for sure
The Fugitive for sure 	 Oh yeah With Tommy Lee
Oh yeah With Tommy Lee 	 That guy is so good
That guy is so good 	 They made a sequel you know
They made a sequel you know 	 Nuh uh
Nuh uh 	 Yeah US Marshals
Yeah US Marshals 	 Huh Was Ford in that one
Huh Was Ford in that one 	 No but the brought back Jones
No but the brought back Jones 	 I 'm gon na have to see that
You know what was an underrated movie The Fugitive 	 Wow what year did that come out
Wow what year did that come out 	 I think
I think 	 I remember seeing it in theater way back when
I remember seeing it in theater way back when 	 Harrison Ford did a great job in that movie as the doctor
Harrison Ford did a great job in that movie as the doctor 	 But Tommy Lee Jones stole the show That dude is all business
But Tommy Lee Jones stole the show That dude is all business 	 I liked how the plot continually advanced They did n't waste time on a dumb backstory
I liked how the plot continually advanced They did n't waste time on a dumb backstory 	 That was crazy when he jumped off the dam
That was crazy when he jumped off the dam 	 Nobody could survive that That was the only part I did n't like
Nobody could survive that That was the only part I did n't like 	 Did n't bother me Made for a great visual
Did you ever see Hung Fu Hustle 	 Yes thats such a great movie
Yes thats such a great movie 	 Yeah I love the fight scenes in that movie they are so original
Yeah I love the fight scenes in that movie they are so original 	 Who directed it
Who directed it 	 Stephen Chow he also plays Sing in the movie
Stephen Chow he also plays Sing in the movie 	 I did n't know that Did he also direct Kung Fu Hustle
I did n't know that Did he also direct Kung Fu Hustle 	 I do n't remember They only released it on You Tube
I do n't remember They only released it on You Tube 	 Thats the modern day version of releasing a movie straight to VHS
Thats the modern day version of releasing a movie straight to VHS 	 Ha I guess it is cause i never saw it
Ha I guess it is cause i never saw it 	 Yeah its better that way the orginal was the best anyway
Ca n't believe Terminator came out years ago 	 It 's crazy is n't it Still one of the better action movies I 've ever seen
It 's crazy is n't it Still one of the better action movies I 've ever seen 	 The whole Terminator series was awesome but T2 brought it to a whole another level
The whole Terminator series was awesome but T2 brought it to a whole another level 	 Arnold was a complete boss in that movie
Arnold was a complete boss in that movie 	 He was overwhelmed The T1000 was the superior machine
He was overwhelmed The T1000 was the superior machine 	 Yeah but the T800 is no slouch Plus he looks like Arnold
Yeah but the T800 is no slouch Plus he looks like Arnold 	 The rest of the series got pretty bad though
The rest of the series got pretty bad though 	 Yeah once James Cameron left the director 's chair it ran off the rails
Yeah once James Cameron left the director 's chair it ran off the rails 	 Think he 'll ever get back in it
Think he 'll ever get back in it 	 I doubt it Does n't change the fact they were great movies
Do you want to go to the movies this weekend 	 Sure what are we going to see
Sure what are we going to see 	 I am not sure lets look and see whats playing
I am not sure lets look and see whats playing 	 lets look for action Oh Transformers The Last Knight is playing
lets look for action Oh Transformers The Last Knight is playing 	 ok if you want action that is the right choice
ok if you want action that is the right choice 	 I hear optimus prime is the bad guy in this
I hear optimus prime is the bad guy in this 	 no way how does that happen I wonder
no way how does that happen I wonder 	 I dont know we will see this weekend
I dont know we will see this weekend 	 I cant wait
I cant wait 	 me either I love a good action film
Which of the Die Hard movies is your favorite 	 I 'm going to go ahead and actually pick a somewhat recent one
I 'm going to go ahead and actually pick a somewhat recent one 	 Please not the one in Russia
Please not the one in Russia 	 Oh of course not That was ridiculous
Oh of course not That was ridiculous 	 Yeah A Good Day to Die Hard was insanely awful
Yeah A Good Day to Die Hard was insanely awful 	 Live Free or Die Hard with Justin Long
Live Free or Die Hard with Justin Long 	 That was pretty good yeah
That was pretty good yeah 	 Which was the one with the racist sign that he had to wear
Which was the one with the racist sign that he had to wear 	 I think that was Die Hard Timely with the riots
I think that was Die Hard Timely with the riots 	 That was kind of stupid and disturbing but we got to meet Samuel L Jackson
Do you like Raiders of the Lost Arc 	 Yes it is a classic Spielberg movie
Yes it is a classic Spielberg movie 	 Did you know the character was named after George Lucas 's dog
Did you know the character was named after George Lucas 's dog 	 No I did not
No I did not 	 When did it come out
Is that before Star Wars 	 No Star Wars was
No Star Wars was 	 Are there any other Raiders movies
Are there any other Raiders movies 	 Yes quite a few actually
Have you seen the movie Blood Father 	 No never heard of it
No never heard of it 	 Great movie you have to watch it
Great movie you have to watch it 	 Who is in it
Who is in it 	 Mel Gibson
Mel Gibson 	 Wow have n't seen one of his movies in a while
Wow have n't seen one of his movies in a while 	 That 's what I said He was great in it
That 's what I said He was great in it 	 Was he a cop
Was he a cop 	 No actually a convict but wo n't tell you too much
No actually a convict but wo n't tell you too much 	 Okay I 'll check it out
Did you ever see Gone In Seconds 	 No who played in that
No who played in that 	 It was a Nicholas Cage film
It was a Nicholas Cage film 	 He has really gone downhill as an actor
He has really gone downhill as an actor 	 Yes but this was one of his earlier works
Yes but this was one of his earlier works 	 Was this a reboot
Was this a reboot 	 Yes the original film came out back in the 's
Yes the original film came out back in the 's 	 Sometimes those turn out good and sometimes not
Sometimes those turn out good and sometimes not 	 Well this one is worth a watch
Well this one is worth a watch 	 I 'll have to check it out
Have you seen the 1st Pirates of the Caribean movie 	 Yes I have i love Johnny Depp in it
Yes I have i love Johnny Depp in it 	 I know he is so cute especially when he swings on things
I know he is so cute especially when he swings on things 	 I liked when he was fencing with Will Turner
I liked when he was fencing with Will Turner 	 Me too what was his real name
Me too what was his real name 	 Orlando Bloom He played a good pirate
Orlando Bloom He played a good pirate 	 Yes and he 's cute too especially when he was running in the cage ball
Yes and he 's cute too especially when he was running in the cage ball 	 I liked when he was 1st seen by Elizabeth as a boy
I liked when he was 1st seen by Elizabeth as a boy 	 Yes and when he was fighting with Jack Sparrow on the rafters
Yes and when he was fighting with Jack Sparrow on the rafters 	 But Jack Sparrow was cute when he said Savvy
I can not stand some directors 	 Like who
Like who 	 Ones that ruin franchises
Ones that ruin franchises 	 What franchise was ruined
What franchise was ruined 	 Transformers
Transformers 	 How was it ruined
How was it ruined 	 Michael bay turned it into explosions the movie
Michael bay turned it into explosions the movie 	 But they are cool
But they are cool 	 Not it is lame
Not it is lame 	 Whatever you say
What did you think of the final Matrix movie 	 Revolutions
Revolutions 	 Yup that one
Yup that one 	 It was too preachy
It was too preachy 	 I think it would have been fine if they did n't rush it
I think it would have been fine if they did n't rush it 	 What do you mean
What do you mean 	 Remember parts and came out in May and November of the same year
Remember parts and came out in May and November of the same year 	 That explains the crap CGI
That explains the crap CGI 	 The script too it was awful
The script too it was awful 	 Could have been less obvious with the Jesus reference too
Can you give me a good Van Damme movie to watch tonight 	 Sure how about Timecop
Sure how about Timecop 	 That sounds good Is it full of action
That sounds good Is it full of action 	 Yes it is
Yes it is 	 How bout another great action movie
How bout another great action movie 	 How about They Live
How about They Live 	 Who directed that one
Who directed that one 	 John Carpenter
John Carpenter 	 I thought he was a horror guy
I thought he was a horror guy 	 He is for the most part but They Live is a great action film
Hey man what 's your favorite Chuck Norris movie 	 Delta Force and you
Delta Force and you 	 Me too I love the chase scene in Beirut
Me too I love the chase scene in Beirut 	 That 's good but when they storm the terrorist compound at the old school that 's better
That 's good but when they storm the terrorist compound at the old school that 's better 	 You have a point I especially like when Chuck Norris shoots the radio after the one terrorist leaders offers to negotiate
You have a point I especially like when Chuck Norris shoots the radio after the one terrorist leaders offers to negotiate 	 That is fun and so 's when the terrorist reinforcments charge the school only to turn right around when Chuck triggers the explosive charges they rigged to it
That is fun and so 's when the terrorist reinforcments charge the school only to turn right around when Chuck triggers the explosive charges they rigged to it 	 Yeah that 's funny they 're all gung-ho charging forward and then they are falling over each other to get away
Yeah that 's funny they 're all gung-ho charging forward and then they are falling over each other to get away 	 Yeah but Lee Marvin has one of the best scences
Yeah but Lee Marvin has one of the best scences 	 Which one
Which one 	 The one where he has that captured guy call the terrorist in the plane and he comes out yelling what and Marvin shoots him right between the eyes
How many Taken movies were there 	 Not sure I know I only saw two but do n't know if they made a third
Not sure I know I only saw two but do n't know if they made a third 	 I 'll have to Google that and see
I 'll have to Google that and see 	 Do n't know if I 'd watch another They can only go so far with those movies
Do n't know if I 'd watch another They can only go so far with those movies 	 That 's true
That 's true 	 Liam Neeson is a fantastic actor though
Liam Neeson is a fantastic actor though 	 He is very believable
He is very believable 	 Yes he plays his parts great
Yes he plays his parts great 	 I would n't mess with him
I would n't mess with him 	 Me either
Hello 	 Hi
Hi 	 Do you watch action movies
Do you watch action movies 	 Yeah definitely
Yeah definitely 	 Do you have a favorite one
Do you have a favorite one 	 I like Bad Boys
I like Bad Boys 	 With Will Smith
With Will Smith 	 Yeah that 's the one
Yeah that 's the one 	 You know I 've never seen that one
You know I 've never seen that one 	 Oh man you should definitely see it
I just watched the movie Collide the other night 	 That 's the one with Nicholas Hoult and Felicity Jones right
That 's the one with Nicholas Hoult and Felicity Jones right 	 Yeah I 've become a huge fan of Nicholas since his role as the War Boy in Mad Max Fury Road I 'm also a huge fan of Felicity Jones since Like Crazy and recently Rogue One
Yeah I 've become a huge fan of Nicholas since his role as the War Boy in Mad Max Fury Road I 'm also a huge fan of Felicity Jones since Like Crazy and recently Rogue One 	 Is this an action movie or a romance
Is this an action movie or a romance 	 It 's starts as a romance but it 's a pure action movie I was surprised when I found out Ben Kingsley and Anthony Hopkins were also in this
It 's starts as a romance but it 's a pure action movie I was surprised when I found out Ben Kingsley and Anthony Hopkins were also in this 	 Wait I did n't know Ben Kingsley and Anthony Hopkins were in this
Wait I did n't know Ben Kingsley and Anthony Hopkins were in this 	 Ben Kingsley is hilarious in his role He plays a slimy criminal that makes Nicholas run errands for him He 's basically playing a character very similar to his role in Iron Man as the Mandarin
Ben Kingsley is hilarious in his role He plays a slimy criminal that makes Nicholas run errands for him He 's basically playing a character very similar to his role in Iron Man as the Mandarin 	 I 've always seen Ben Kingsley as a serious actor but when I watched Ironman that was so surprising in a good way to see that he could really ham it up
I 've always seen Ben Kingsley as a serious actor but when I watched Ironman that was so surprising in a good way to see that he could really ham it up 	 He really hams it up in Collide The movie overall was very average the action was good the romance bare and the story plot pretty basic I would consider this movie a pretty generic action flick
He really hams it up in Collide The movie overall was very average the action was good the romance bare and the story plot pretty basic I would consider this movie a pretty generic action flick 	 This sounds like one of those rainy Sunday afternoon movies to throw on I think I 'll save it for that occasion
What was your favorite Bond movie 	 Old or new There 's been so many
Old or new There 's been so many 	 I would just say ones that have been made recently like the last years or so
I would just say ones that have been made recently like the last years or so 	 So out of the Daniel Craig movies Skyfall
So out of the Daniel Craig movies Skyfall 	 See I always thought that was a bit overrated I prefer Casino Royale
See I always thought that was a bit overrated I prefer Casino Royale 	 Well that was the first one with him I think They worked the kinks out in that movie
Well that was the first one with him I think They worked the kinks out in that movie 	 I actually thought the plot was better than Skyfall
I actually thought the plot was better than Skyfall 	 We 'll have to agree to disagree on that one
We 'll have to agree to disagree on that one 	 One thing 's for sure Quantam of Solace was garbage
One thing 's for sure Quantam of Solace was garbage 	 Oh yeah Not a good film
Have you seen any of Steven Seagal 's movies 	 Yes I have seen all his older ones
Yes I have seen all his older ones 	 Why not the new ones
Why not the new ones 	 His new ones are pretty low budget B movie face His 80s and 90s stuff is the best
His new ones are pretty low budget B movie face His 80s and 90s stuff is the best 	 Which ones are good
Which ones are good 	 Under Siege was one of his best He is pretty much the only guy free on an Aircraft Carrier and he has to save everyone else
Under Siege was one of his best He is pretty much the only guy free on an Aircraft Carrier and he has to save everyone else 	 That sounds cool Was n't there a sequel
That sounds cool Was n't there a sequel 	 Yes It was set on a train It was pretty good too Eric Bogosian was great as the villain
Yes It was set on a train It was pretty good too Eric Bogosian was great as the villain 	 I will check those out Any others you would recommend
I will check those out Any others you would recommend 	 Hard to Kill was good so was Out for Justice They have lots of action
Did you ever see the Matrix 	 Of course I saw the Matrix its one of the top movies of all time
Of course I saw the Matrix its one of the top movies of all time 	 Yea I really loved those movies
Yea I really loved those movies 	 The special effect style of the fight choreography was very original
The special effect style of the fight choreography was very original 	 Yea the way they slow-motion dodged bullets was really cool
Yea the way they slow-motion dodged bullets was really cool 	 Yea it was
Yea it was 	 What else did you like about it
What else did you like about it 	 The fighting they did on the cables to make it seem like they were flying around was pretty epic
The fighting they did on the cables to make it seem like they were flying around was pretty epic 	 Like when Morpheus was training Neo in the dojo
Like when Morpheus was training Neo in the dojo 	 Exactly that was awesome
What are some of your favorite action films 	 I really like Tom Cruise action movies actually
I really like Tom Cruise action movies actually 	 Yeah he 's done quite a few I loved Days of Thunder
Yeah he 's done quite a few I loved Days of Thunder 	 That 's a good one I like a lot of his more recent films too
That 's a good one I like a lot of his more recent films too 	 I have n't seen too many of his newer films I heard the Mission Impossible Films are pretty good
I have n't seen too many of his newer films I heard the Mission Impossible Films are pretty good 	 They are I also like the Jack Reacher films
They are I also like the Jack Reacher films 	 I 've never seen those either Do you like Matt Damon
I 've never seen those either Do you like Matt Damon 	 Yes I 'm a huge fan of the Jason Bourne series
Yes I 'm a huge fan of the Jason Bourne series 	 Me too did you watch the latest one
Me too did you watch the latest one 	 Yes it was awesome
Did you ever see Dirty Harry the movie 	 Yes that was a great movie Clint Eastwood is one of my favorite actors
Yes that was a great movie Clint Eastwood is one of my favorite actors 	 Mine too his movies are action packed
Mine too his movies are action packed 	 He was in a lot of them did you ever see The Good The Bad and the Ugly
He was in a lot of them did you ever see The Good The Bad and the Ugly 	 Yes I did that was one of my favorite movies
Yes I did that was one of my favorite movies 	 Mine too it was full of action
Mine too it was full of action 	 His movies are consistently good never saw a bad one
His movies are consistently good never saw a bad one 	 That is true
That is true 	 I hope he comes out with another soon
I hope he comes out with another soon 	 I do too Clint Eastwood is one great actor a classic
what do you think of fight club 	 that movie is amazing
that movie is amazing 	 everyone loves it its a crazy movie
everyone loves it its a crazy movie 	 in that time i think the only action film i like better is the matrix
in that time i think the only action film i like better is the matrix 	 red pill or the blue pill
red pill or the blue pill 	 i want the truth i 'll be the chosen one
i want the truth i 'll be the chosen one 	 I think i agree too
I think i agree too 	 I wan na look like keanu dodging those bullets
I wan na look like keanu dodging those bullets 	 and those fighting skills too
and those fighting skills too 	 The fights were crazy cool
What 's your favorite scene in an action movie 	 The opening scene in Saving Private Ryan has to be my favorite
The opening scene in Saving Private Ryan has to be my favorite 	 I loved that scene Tom Hanks and all the other actors did a great job at portraying what the Army really went through when they landed on Normandy that fateful day
I loved that scene Tom Hanks and all the other actors did a great job at portraying what the Army really went through when they landed on Normandy that fateful day 	 It was extremly realistic I heard Steven Speilberg hired something like real soliders to act as extras just in that one scene
It was extremly realistic I heard Steven Speilberg hired something like real soliders to act as extras just in that one scene 	 Oh wow I 've never heard that before do you know where the scene was actually filmed
Oh wow I 've never heard that before do you know where the scene was actually filmed 	 They were fimed on Ballinesker Beach which is in Ireland
They were fimed on Ballinesker Beach which is in Ireland 	 That 's awesome You ca n't get much better then the actors in that movie
That 's awesome You ca n't get much better then the actors in that movie 	 Vin Diseal Matt Damon Tom Hanks etc. The list goes on and on
Vin Diseal Matt Damon Tom Hanks etc. The list goes on and on 	 How many Academy Awards did the film win
How many Academy Awards did the film win 	 It was nominated for but won in total
How 'd you like Jason Bourne 	 It was OK
It was OK 	 I thought it was great
I thought it was great 	 The first one was better
The first one was better 	 Oh yeah Clive Owen was in that one
Oh yeah Clive Owen was in that one 	 He 's really good
He 's really good 	 Too bad they had to kill him off in the first one
Too bad they had to kill him off in the first one 	 It was either him or Bourne
It was either him or Bourne 	 True enough
True enough 	 But they 've had plenty of good antogonists
I watched Pulp Fiction for the first time today 	 Wow that is a real classic cult action film
Wow that is a real classic cult action film 	 It was nothing like what I expected
It was nothing like what I expected 	 John Travolta is brilliant in that movie
John Travolta is brilliant in that movie 	 He was like this cool contract killer him and the other guy
He was like this cool contract killer him and the other guy 	 Samuel L. Jackson
Samuel L. Jackson 	 Yes When he recited the Bible verse albeit a little wrongly it was so intense
Yes When he recited the Bible verse albeit a little wrongly it was so intense 	 Then ended up shooting the guy any way
Then ended up shooting the guy any way 	 Yes I liked how all the stories bled into one another
Yes I liked how all the stories bled into one another 	 Yes but some characters never even met Like Bruce Willis and Travolta their characters never meet
What is your favorite Indiana Jones movie 	 Probably Raiders of the Lost Ark.
Probably Raiders of the Lost Ark. 	 What makes it your favorite
What makes it your favorite 	 Probably the whole classic snake pit and Indy 's struggling to deal with it
Probably the whole classic snake pit and Indy 's struggling to deal with it 	 Yeah it makes you feel for the guy I like The Last Crusade
Yeah it makes you feel for the guy I like The Last Crusade 	 It 's a classic and the whole choose wisely scene I love it
It 's a classic and the whole choose wisely scene I love it 	 I know Every time I watch that whole part I 'm tense even though I know how it will turn out
I know Every time I watch that whole part I 'm tense even though I know how it will turn out 	 Do you know where they shot those scenes
Do you know where they shot those scenes 	 I 'm afraid I do n't know
I 'm afraid I do n't know 	 That 's a bummer But it 's beautiful no matter where it is
Hey there 	 Hello
Hello 	 Do you have a favorite action movie
Do you have a favorite action movie 	 Let me think
Let me think 	 Sure think about it for a bit
Sure think about it for a bit 	 I would say Die Hard
I would say Die Hard 	 Which one
Which one 	 The second one
The second one 	 That 's a pretty good call
That 's a pretty good call 	 yeah
The most recent Indiana Jones movie was just awful 	 i remember seeing it at the theater when it came out and wondering what they were thinking
i remember seeing it at the theater when it came out and wondering what they were thinking 	 It was just a bad plot Aliens Come on now
It was just a bad plot Aliens Come on now 	 It did n't help that they made it so unrealistic
It did n't help that they made it so unrealistic 	 Which part are you referring to
Which part are you referring to 	 Well take your pick but I mean the nuke scene
Well take your pick but I mean the nuke scene 	 Oh the one where he hid in the fridge
Oh the one where he hid in the fridge 	 Yep that 's the one Completely ridiculous
Yep that 's the one Completely ridiculous 	 To me that pretty much signaled the end of the Indiana Jones ever being in danger
To me that pretty much signaled the end of the Indiana Jones ever being in danger 	 Agreed Kind of takes the mystery out of it
I wonder if they 're going to make any other Taken movies 	 You mean the one with Liam Neeson
You mean the one with Liam Neeson 	 Yeah you know the one he goes crazy on the bad guys
Yeah you know the one he goes crazy on the bad guys 	 I saw it Great movie do n't mess with him
I saw it Great movie do n't mess with him 	 If it was my daughter I 'd go nuts too on them
If it was my daughter I 'd go nuts too on them 	 Well think you 'd need some training first
Well think you 'd need some training first 	 Okay okay You know what I mean
Okay okay You know what I mean 	 Yes he sure does make them guys pay
Yes he sure does make them guys pay 	 I would n't mind having him as my dad
I would n't mind having him as my dad 	 Me either
Have you watched the hunger games movies 	 Yes they are good
Yes they are good 	 I really like them too
I really like them too 	 Did you read the books
Did you read the books 	 Yes i read all the books and eatched all the movies
Yes i read all the books and eatched all the movies 	 I was suprised the movies werent horrible
I was suprised the movies werent horrible 	 Me too
Me too 	 I really liked watching them
I really liked watching them 	 Me too
Me too 	 Thank you
Have you seen any good action movies 	 I seen Wonder Woman had a lot of action
I seen Wonder Woman had a lot of action 	 That movies was the best How about some older action movies
That movies was the best How about some older action movies 	 There is one called Last Action Hero
There is one called Last Action Hero 	 With Arnold Schwarzenegger
With Arnold Schwarzenegger 	 Yes Early 's Action and comedy
Yes Early 's Action and comedy 	 I thought I was the only person who ever saw that show
I thought I was the only person who ever saw that show 	 It was silly but the action was amazing
It was silly but the action was amazing 	 I liked when the bad guys came out of the screen
I liked when the bad guys came out of the screen 	 The one guy with the smiley faced eyeball Scared me
Hi 	 Hey
Hey 	 Do you watch a lot of action movies
Do you watch a lot of action movies 	 Yeah I watch a few not a ton
Yeah I watch a few not a ton 	 Do you have one that you like the most
Do you have one that you like the most 	 I really like Top Gun a lot
I really like Top Gun a lot 	 That is a good one When was the last time you saw it
That is a good one When was the last time you saw it 	 It comes on tv quite a bit I saw it a month ago or so
It comes on tv quite a bit I saw it a month ago or so 	 Yeah that 's right It still holds up too
Yeah that 's right It still holds up too 	 yep
I have the best action film for you 	 What is it
What is it 	 It is called the Chinese Connection
It is called the Chinese Connection 	 Oh what is it about
Oh what is it about 	 It is starring Bruce Lee
It is starring Bruce Lee 	 Oh really I know of him
Oh really I know of him 	 Yes the film is a complete movie
Yes the film is a complete movie 	 Is it really
Is it really 	 Yes and it is heavy on the excellent martial arts action
Yes and it is heavy on the excellent martial arts action 	 Great I will watch it then thanks
What is your favorite action sequence 	 I am not sure
I am not sure 	 Well you wan na know mine
Well you wan na know mine 	 Sure i am cool with that
Sure i am cool with that 	 Well my favorite is a star wars scene
Well my favorite is a star wars scene 	 Which one
Which one 	 I love the action sequence where darth maul fights Qui Gon
I love the action sequence where darth maul fights Qui Gon 	 That is the best part of the movie
That is the best part of the movie 	 It is and it is not a bad movie
It is and it is not a bad movie 	 That is a little to far
Have you seen the second John Wick movie 	 Not yet but I loved the first one
Not yet but I loved the first one 	 Almost two hours of headshot after headshot is so awesome
Almost two hours of headshot after headshot is so awesome 	 I heard it has a crazy ending too
I heard it has a crazy ending too 	 I cant spoil it for you though
I cant spoil it for you though 	 I wonder if there will be a third movie
I wonder if there will be a third movie 	 They imply that there will be
They imply that there will be 	 Oh man I ca n't wait
Oh man I ca n't wait 	 You need to see the second one though
You need to see the second one though 	 Okay I 'll watch it tonight
I just saw Jack Reacher Never Go Back 	 Who is in it other than Tom Cruise
Who is in it other than Tom Cruise 	 Cobie Smulders is the woman
Cobie Smulders is the woman 	 Anyone else
Anyone else 	 Danika Yarosh plays a teenager She 's pretty good
Danika Yarosh plays a teenager She 's pretty good 	 Who directed
Who directed 	 Edward Zwick
Edward Zwick 	 Did he work with Cruise before
Did he work with Cruise before 	 Yes The Last Samurai
Yes The Last Samurai 	 Neat
I just watched Inglourious Basterds the other day What a great movie 	 I have n't seen it what is it about
I have n't seen it what is it about 	 It is set in WWII and its about a plan to assassinate Nazi leaders
It is set in WWII and its about a plan to assassinate Nazi leaders 	 Wow sounds good Who is in it
Wow sounds good Who is in it 	 Brad Pitt has the lead role
Brad Pitt has the lead role 	 I think Brad Pitt is such a great action hero He was great in World War Z.
I think Brad Pitt is such a great action hero He was great in World War Z. 	 I liked World War Z a lot too
I liked World War Z a lot too 	 Have you ever seen Snatch
Have you ever seen Snatch 	 I have that is one of my favorite movies of all time
I have that is one of my favorite movies of all time 	 Me too I could watch Snatch over and over and not get tired of it
What is your favorite action movie 	 Probably Con Air
Probably Con Air 	 Really Nicolas Cage is in that right
Really Nicolas Cage is in that right 	 He certainly is He kicks bad guy butt for min its great
He certainly is He kicks bad guy butt for min its great 	 Nicolas Cage is such a versatile actor he can do almost anything
Nicolas Cage is such a versatile actor he can do almost anything 	 I know what you mean He can play the hero or the villain
I know what you mean He can play the hero or the villain 	 I like him a tiny bit more as a villian
I like him a tiny bit more as a villian 	 What is your favorite bad guy Nicolas Cage role
What is your favorite bad guy Nicolas Cage role 	 I really liked him a lot in Face Off
I really liked him a lot in Face Off 	 Oh me too He was super creepy
Have you seen baader meinhof the movie 	 No I have not
No I have not 	 It is one of the most amazing action films
It is one of the most amazing action films 	 Oh is it
Oh is it 	 Yes it shows a guerilla revolution movement in Germany
Yes it shows a guerilla revolution movement in Germany 	 Wow that sounds unique
Wow that sounds unique 	 It is really special
It is really special 	 Ok I will watch it
Ok I will watch it 	 It is filled with great action
It is filled with great action 	 Thank you for the recommendation
I still think enter the dragon is the best action movie to grace films 	 I mean i will give you it is a classic
I mean i will give you it is a classic 	 it is THE classic
it is THE classic 	 I did like it
I did like it 	 I still rewatch it every year
I still rewatch it every year 	 I pretty much do the same
I pretty much do the same 	 Shame what happened
Shame what happened 	 What do you mean
What do you mean 	 He died duh
He died duh 	 Oh yeah that is a shame
Have you ever seen The Departed 	 I do n't think so who is in it
I do n't think so who is in it 	 Matt Damon Leonardo DiCaprio and Jack Nicholson
Matt Damon Leonardo DiCaprio and Jack Nicholson 	 No I do n't think so Is it any good
No I do n't think so Is it any good 	 It 's a great action movie If you like those types of movies definitely check it out
It 's a great action movie If you like those types of movies definitely check it out 	 What 's it about
What 's it about 	 Well I do n't want to spoil the plot but it 's a complicated story of two men undercover one in the police and the other in the mob
Well I do n't want to spoil the plot but it 's a complicated story of two men undercover one in the police and the other in the mob 	 Oh sounds interesting
Oh sounds interesting 	 Yeah it 's a complicated story but it does it just right and keeps you very entertained I highly recommend it
Yeah it 's a complicated story but it does it just right and keeps you very entertained I highly recommend it 	 I 'll check it out thanks
We watched a few Stallone movies over the weekend 	 Which ones He 's got tons of movies
