Yeah I remember that scene when the metal blobs join together and turn into the bad cop 	 That cop had an evil look to him I wonder what the real cops thought
That cop had an evil look to him I wonder what the real cops thought 	 I bet all cops like Arnold
I bet all cops like Arnold 	 They should make a film where he is now a police chief who gets down and dirty on the front lines
Do you have a favorite Harrison Ford movie 	 The Fugitive for sure
The Fugitive for sure 	 Oh yeah With Tommy Lee
Oh yeah With Tommy Lee 	 That guy is so good
That guy is so good 	 They made a sequel you know
They made a sequel you know 	 Nuh uh
Nuh uh 	 Yeah US Marshals
Yeah US Marshals 	 Huh Was Ford in that one
Huh Was Ford in that one 	 No but the brought back Jones
No but the brought back Jones 	 I 'm gon na have to see that
You know what was an underrated movie The Fugitive 	 Wow what year did that come out
Wow what year did that come out 	 I think
I think 	 I remember seeing it in theater way back when
I remember seeing it in theater way back when 	 Harrison Ford did a great job in that movie as the doctor
Harrison Ford did a great job in that movie as the doctor 	 But Tommy Lee Jones stole the show That dude is all business
But Tommy Lee Jones stole the show That dude is all business 	 I liked how the plot continually advanced They did n't waste time on a dumb backstory
I liked how the plot continually advanced They did n't waste time on a dumb backstory 	 That was crazy when he jumped off the dam
That was crazy when he jumped off the dam 	 Nobody could survive that That was the only part I did n't like
Nobody could survive that That was the only part I did n't like 	 Did n't bother me Made for a great visual
Did you ever see Hung Fu Hustle 	 Yes thats such a great movie
Yes thats such a great movie 	 Yeah I love the fight scenes in that movie they are so original
Yeah I love the fight scenes in that movie they are so original 	 Who directed it
Who directed it 	 Stephen Chow he also plays Sing in the movie
Stephen Chow he also plays Sing in the movie 	 I did n't know that Did he also direct Kung Fu Hustle
I did n't know that Did he also direct Kung Fu Hustle 	 I do n't remember They only released it on You Tube
I do n't remember They only released it on You Tube 	 Thats the modern day version of releasing a movie straight to VHS
Thats the modern day version of releasing a movie straight to VHS 	 Ha I guess it is cause i never saw it
Ha I guess it is cause i never saw it 	 Yeah its better that way the orginal was the best anyway
Ca n't believe Terminator came out years ago 	 It 's crazy is n't it Still one of the better action movies I 've ever seen
It 's crazy is n't it Still one of the better action movies I 've ever seen 	 The whole Terminator series was awesome but T2 brought it to a whole another level
The whole Terminator series was awesome but T2 brought it to a whole another level 	 Arnold was a complete boss in that movie
Arnold was a complete boss in that movie 	 He was overwhelmed The T1000 was the superior machine
He was overwhelmed The T1000 was the superior machine 	 Yeah but the T800 is no slouch Plus he looks like Arnold
Yeah but the T800 is no slouch Plus he looks like Arnold 	 The rest of the series got pretty bad though
The rest of the series got pretty bad though 	 Yeah once James Cameron left the director 's chair it ran off the rails
Yeah once James Cameron left the director 's chair it ran off the rails 	 Think he 'll ever get back in it
Think he 'll ever get back in it 	 I doubt it Does n't change the fact they were great movies
Do you want to go to the movies this weekend 	 Sure what are we going to see
